coding_consistency,assessment_score,project_quality,github_authenticity,defense_score,projects_completed,verified
24,45,74,37,35,3,0
56,77,46,48,37,2,0
91,40,37,80,38,1,0
50,85,36,86,63,4,0
28,78,34,97,21,0,0
70,64,89,60,77,5,1
48,50,54,32,29,6,0
97,89,32,72,95,3,1
59,98,45,58,65,6,1
60,88,46,39,38,5,0
30,67,42,41,57,4,0
42,41,90,75,56,1,0
20,83,72,59,97,0,0
65,47,68,61,64,2,0
40,31,33,76,53,3,0
55,68,91,92,21,4,0
73,77,78,55,63,4,1
76,95,50,32,46,4,0
20,58,50,52,67,4,0
82,70,58,79,26,0,0
73,92,32,65,46,2,0
74,40,34,42,90,1,0
59,95,72,58,37,3,0
34,43,79,67,52,6,0
40,26,78,34,52,4,0
66,34,64,49,44,5,0
92,74,39,43,33,4,0
72,36,42,37,57,2,0
28,94,47,77,57,2,0
93,46,86,42,23,0,0
71,56,70,53,81,0,0
76,25,63,94,29,5,0
45,78,39,63,54,5,0
60,82,77,80,42,0,0
54,94,88,32,84,3,1
82,42,87,87,98,5,1
44,30,40,84,44,0,0
94,69,94,71,72,4,1
57,47,90,50,36,0,0
21,47,37,39,76,6,0
26,50,71,86,94,3,0
53,31,33,54,96,0,0
36,68,87,85,39,0,0
62,51,58,67,44,4,0
78,50,53,90,61,5,1
70,60,61,76,64,4,1
73,79,67,83,50,6,1
43,88,88,75,84,6,1
44,81,48,97,71,4,1
90,93,95,33,99,0,1
71,85,58,95,40,4,1
89,26,72,72,49,2,0
52,79,36,91,22,1,0
68,62,47,33,89,1,0
48,53,37,94,62,4,0
82,50,69,91,48,5,1
41,59,89,31,22,3,0
45,91,71,38,77,6,1
47,53,82,86,52,4,0
68,58,29,74,94,5,1
90,65,29,47,64,4,0
100,65,84,77,88,0,1
68,47,45,71,51,6,0
39,95,48,70,71,6,1
82,27,42,87,83,5,0
80,82,45,71,59,6,1
68,56,78,64,32,3,0
90,55,34,67,99,4,1
20,67,48,96,93,2,0
32,31,84,70,48,5,0
70,25,81,79,82,1,0
75,85,47,74,45,5,1
81,38,46,100,78,2,1
51,76,92,48,68,6,1
49,30,58,46,72,2,0
48,34,94,94,50,6,0
68,95,52,85,31,2,0
64,54,63,70,77,3,0
49,45,66,71,55,3,0
35,84,47,35,29,5,0
59,98,94,98,25,3,1
38,87,26,69,26,1,0
37,66,48,70,50,6,0
20,75,41,38,91,0,0
97,88,89,37,22,5,1
66,100,94,73,66,4,1
85,80,93,87,20,4,1
57,65,84,96,64,5,1
70,56,74,42,73,0,0
82,39,36,48,69,4,0
23,86,71,78,98,5,1
20,51,91,59,26,5,0
27,52,89,95,82,2,1
48,88,51,88,34,1,0
74,83,72,82,86,4,1
22,82,86,81,49,1,0
51,26,68,60,97,6,0
29,60,43,44,87,5,0
93,95,83,49,55,0,1
53,37,32,34,86,5,0
74,39,79,36,24,4,0
51,84,71,47,44,1,0
69,46,26,85,30,2,0
26,87,63,74,91,2,1
27,99,69,57,85,5,1
84,98,56,79,47,0,1
76,49,89,31,79,6,1
86,72,62,97,29,3,1
78,67,35,53,69,4,0
91,62,34,77,58,5,0
73,65,83,74,56,2,1
86,69,79,87,82,2,1
70,64,44,65,80,0,0
27,41,41,31,57,2,0
53,81,92,47,52,4,1
54,26,29,78,94,0,0
97,86,84,37,64,1,1
51,33,47,87,63,0,0
65,92,70,44,20,6,0
35,41,76,46,72,4,0
87,74,34,52,66,6,1
56,64,70,95,52,4,1
73,82,52,99,86,1,1
33,99,67,56,34,5,0
74,45,50,66,33,0,0
67,42,79,78,42,4,0
26,79,72,93,73,4,1
93,53,53,63,27,1,0
26,48,51,47,73,3,0
52,98,42,93,55,0,0
42,41,84,73,71,4,0
38,42,98,46,25,2,0
38,66,93,88,47,1,0
55,69,98,42,69,3,1
48,41,45,81,57,3,0
79,97,48,89,49,1,1
21,38,27,71,100,3,0
20,73,86,93,92,4,1
66,53,26,95,73,3,0
88,28,90,63,90,0,1
39,44,66,100,65,2,0
30,71,58,93,47,4,0
21,33,66,62,36,1,0
86,51,44,41,67,2,0
31,39,92,48,63,5,0
39,43,69,38,79,4,0
24,76,99,46,79,2,0
56,50,66,79,24,3,0
57,50,71,68,88,5,1
28,50,29,70,97,1,0
72,70,73,39,89,1,1
63,73,61,41,26,0,0
43,77,58,44,72,3,0
100,27,97,57,36,0,0
93,90,94,33,78,0,1
49,66,42,65,28,3,0
78,43,43,94,41,4,0
100,41,64,76,64,5,1
100,57,41,68,92,6,1
33,100,84,67,78,0,1
28,73,66,73,99,2,1
59,80,96,80,32,5,1
85,87,89,55,31,4,1
44,27,77,65,55,3,0
92,73,31,98,29,1,0
41,79,29,30,35,4,0
23,50,48,82,38,0,0
45,96,52,35,25,2,0
77,76,86,66,23,5,1
48,31,41,31,49,3,0
56,70,44,98,65,1,0
94,70,27,70,46,5,0
89,40,61,80,64,2,0
37,48,39,76,56,6,0
61,85,75,42,28,1,0
60,78,72,98,80,3,1
57,86,32,95,54,5,0
53,25,37,88,66,4,0
36,73,72,97,40,0,0
56,49,27,88,36,3,0
44,34,89,39,74,2,0
95,40,97,42,25,4,0
46,82,55,31,54,5,0
76,96,50,44,69,1,1
50,53,80,75,56,4,0
25,30,58,86,32,4,0
59,40,33,39,44,2,0
31,44,86,51,20,0,0
72,95,37,37,68,6,0
90,67,93,50,54,4,1
29,50,65,51,72,4,0
64,95,25,74,71,0,0
36,57,71,69,73,0,0
45,50,28,51,95,1,0
81,69,87,59,66,5,1
65,87,76,91,62,1,1
83,91,34,74,39,0,0
21,76,52,64,52,6,0
73,92,30,71,35,3,0
84,50,51,34,97,0,0
70,99,36,56,26,1,0
72,26,86,99,89,2,1
55,38,76,91,40,2,0
45,54,72,61,55,5,0
48,73,91,37,73,4,1
40,36,70,47,38,6,0
30,68,98,44,44,2,0
59,57,39,55,86,1,0
30,37,95,82,72,2,0
55,50,60,73,94,6,1
78,45,38,61,67,6,0
58,52,27,57,61,3,0
73,72,91,68,66,0,1
74,64,43,61,61,0,0
43,90,100,47,21,1,0
41,97,78,99,25,4,1
88,47,93,40,65,6,1
75,72,34,61,85,0,0
52,26,57,49,100,2,0
55,44,37,69,59,6,0
39,83,75,37,77,3,0
100,70,56,64,97,4,1
81,27,99,98,93,4,1
92,79,48,50,52,4,1
45,36,59,53,81,0,0
85,64,94,46,31,5,1
92,90,64,47,68,4,1
92,40,78,41,97,1,1
59,58,68,45,24,2,0
36,68,86,33,70,5,0
20,30,92,63,88,3,0
80,88,57,75,51,2,1
62,46,80,60,68,1,0
61,42,60,54,79,1,0
44,36,78,53,65,6,0
58,76,43,94,87,5,1
54,75,67,54,60,2,0
22,95,36,57,100,0,0
63,72,35,65,86,6,1
70,43,94,35,32,1,0
31,30,36,95,37,4,0
38,51,65,96,70,3,0
63,77,49,77,55,3,0
78,72,27,99,100,1,1
68,31,27,96,53,4,0
80,83,52,77,31,2,0
36,93,47,94,24,3,0
93,35,72,73,67,4,1
76,39,91,92,59,4,1
74,88,66,75,32,0,0
66,27,64,48,45,1,0
31,93,30,93,33,4,0
81,47,44,100,30,6,0
99,77,35,79,57,2,1
27,61,51,92,99,3,0
40,33,45,70,76,6,0
100,39,37,36,41,0,0
99,27,59,38,35,2,0
89,94,71,33,96,3,1
91,41,52,78,95,1,1
44,50,45,35,48,2,0
31,45,42,50,21,3,0
34,96,55,44,73,0,0
78,45,84,96,21,6,1
45,35,61,95,22,3,0
45,62,45,85,75,4,0
66,96,38,97,91,0,1
51,59,84,61,30,2,0
29,38,47,95,95,5,0
35,38,53,58,51,1,0
90,34,71,95,23,6,0
36,36,54,63,28,0,0
42,62,62,56,75,6,0
45,58,51,89,35,0,0
26,65,39,68,100,0,0
33,34,83,73,90,3,0
98,41,27,65,29,4,0
26,41,34,48,55,5,0
28,91,41,74,43,1,0
67,86,35,50,83,6,1
91,25,72,52,75,1,0
78,36,29,56,97,4,0
58,28,93,48,97,3,0
37,66,88,70,41,3,0
78,37,38,55,71,4,0
36,28,74,57,69,6,0
33,93,50,93,66,4,1
50,43,96,97,42,2,0
43,26,93,80,95,3,1
79,36,31,77,38,6,0
64,98,40,39,71,0,0
22,30,79,68,53,1,0
56,32,80,48,48,3,0
62,75,28,93,80,4,1
59,35,72,48,54,0,0
74,87,41,91,24,2,0
58,81,60,42,95,5,1
34,36,94,54,26,2,0
23,97,62,71,60,0,0
44,26,86,68,21,6,0
32,32,72,59,29,6,0
52,35,34,34,63,0,0
35,77,60,47,89,6,0
61,34,53,50,54,4,0
85,32,28,79,81,6,0
74,60,68,35,93,5,1
61,100,80,79,92,4,1
53,38,66,95,39,1,0
49,78,37,30,54,6,0
32,45,70,86,56,5,0
32,74,57,59,91,5,0
37,63,45,87,73,1,0
51,44,81,81,99,2,1
58,31,93,66,47,0,0
65,33,94,77,89,2,1
48,25,91,30,51,6,0
81,50,72,48,30,6,0
81,62,100,75,61,4,1
76,62,57,96,42,3,0
35,85,60,31,49,6,0
75,68,57,85,28,6,0
29,68,55,46,78,4,0
49,98,45,51,47,3,0
44,86,51,56,98,0,0
24,30,96,84,52,0,0
84,41,86,61,66,5,1
68,75,50,89,41,0,0
22,62,90,57,48,1,0
64,48,36,57,53,1,0
33,75,46,54,61,3,0
49,34,41,55,71,2,0
87,96,31,100,66,5,1
37,45,92,46,93,2,0
81,94,61,36,70,3,1
56,81,62,85,64,1,1
44,63,35,93,94,4,0
67,57,25,49,53,6,0
84,83,49,67,40,5,1
72,42,66,87,32,3,0
98,80,76,45,73,2,1
92,81,48,80,44,3,1
34,100,77,56,40,3,0
68,72,80,80,20,0,0
87,66,87,45,77,1,1
31,51,32,89,88,5,0
78,98,83,69,90,0,1
56,76,69,96,32,1,0
80,66,51,31,71,3,0
62,56,76,77,42,1,0
89,50,42,81,40,2,0
58,49,40,53,25,5,0
75,99,90,31,39,0,1
82,47,29,94,95,5,1
65,81,27,49,59,3,0
30,76,94,63,28,2,0
81,55,31,70,69,1,0
96,88,74,70,47,6,1
44,95,38,52,30,1,0
90,57,62,67,94,2,1
71,26,71,73,75,6,0
23,42,57,96,98,1,0
78,71,67,91,54,0,1
91,57,53,41,100,4,1
39,59,81,59,44,1,0
82,75,29,94,38,3,0
73,42,84,70,50,1,0
93,96,94,49,100,5,1
76,54,26,35,69,3,0
60,68,94,33,82,1,1
22,77,67,39,66,1,0
25,34,28,80,20,3,0
24,76,80,67,77,0,0
24,73,83,30,29,6,0
73,35,33,37,27,6,0
66,90,27,92,45,4,0
68,82,72,62,53,4,1
28,60,67,44,38,6,0
39,57,25,60,97,0,0
80,71,81,50,91,1,1
54,37,77,32,20,4,0
69,64,40,95,67,0,0
81,92,75,64,44,0,1
36,66,99,70,43,4,0
22,43,79,88,66,6,0
51,43,25,45,88,3,0
32,82,52,85,86,2,0
92,47,77,74,51,6,1
87,78,82,88,36,3,1
33,89,97,79,80,6,1
30,36,84,41,88,1,0
75,48,83,41,30,3,0
86,58,46,62,57,5,0
48,77,32,78,87,2,0
28,32,73,50,38,6,0
86,42,66,89,36,2,0
44,81,51,81,32,0,0
95,29,63,83,20,5,0
61,50,49,68,21,1,0
28,54,62,78,85,0,0
98,78,48,93,87,3,1
59,37,48,55,35,3,0
44,53,84,100,23,4,0
24,27,74,36,76,0,0
30,82,90,91,92,5,1
78,100,38,53,42,0,0
98,26,77,69,21,0,0
57,99,56,76,86,0,1
91,52,72,37,45,2,0
24,100,63,83,26,4,0
67,26,64,38,63,6,0
37,31,66,32,52,1,0
89,50,100,83,83,1,1
56,100,32,50,55,1,0
79,40,50,77,23,2,0
67,47,36,76,42,4,0
96,64,67,97,44,5,1
47,84,75,92,93,4,1
88,97,87,45,46,2,1
96,56,73,34,70,5,1
100,39,51,40,98,0,0
59,37,33,58,100,3,0
64,29,63,99,88,0,0
81,99,89,77,99,1,1
77,98,95,44,42,0,1
86,76,95,63,28,2,1
75,65,31,89,52,1,0
59,77,96,91,54,3,1
59,74,91,31,69,5,1
96,39,34,48,43,5,0
52,31,95,78,43,1,0
25,64,77,57,38,6,0
38,52,81,77,58,6,0
99,56,51,66,80,0,1
59,39,78,78,44,6,0
78,94,28,77,44,4,0
78,89,47,58,46,4,0
67,28,72,89,51,5,0
60,35,66,58,30,4,0
32,50,27,87,88,1,0
64,85,27,77,52,4,0
72,61,52,52,38,2,0
61,47,87,56,35,5,0
82,64,55,36,30,3,0
46,47,34,78,94,4,0
57,40,73,83,93,2,1
79,85,45,97,88,2,1
26,92,77,71,74,1,1
24,55,100,88,44,5,0
64,77,78,73,96,1,1
77,49,81,55,53,3,0
50,68,44,52,31,3,0
42,36,73,37,40,0,0
61,33,31,82,48,3,0
29,36,53,43,70,5,0
51,93,72,100,42,6,1
72,78,37,36,52,6,0
49,78,27,38,27,5,0
58,52,26,32,61,1,0
50,80,40,46,96,2,0
21,93,30,73,88,0,0
97,82,69,75,60,6,1
96,99,95,87,93,6,1
31,66,29,57,82,3,0
58,62,80,43,33,2,0
85,92,95,38,81,1,1
32,77,56,55,94,4,0
65,57,73,31,65,0,0
46,95,37,63,86,5,1
36,80,54,48,72,2,0
79,96,49,68,71,1,1
83,75,84,42,26,1,0
54,98,83,34,100,0,1
89,67,52,79,73,0,1
49,39,82,52,30,3,0
90,62,44,58,44,3,0
93,39,58,55,78,5,1
82,29,29,86,85,5,0
47,78,84,30,46,0,0
79,75,67,57,77,0,1
98,34,81,91,30,2,0
56,36,81,76,74,3,0
41,28,99,88,38,1,0
87,42,78,60,58,6,1
39,60,69,99,89,6,1
87,49,61,78,30,6,0
83,100,72,34,33,3,1
36,60,78,60,79,3,0
31,91,72,66,55,0,0
41,33,30,44,60,6,0
36,85,58,81,21,0,0
29,77,87,98,76,3,1
84,42,72,40,79,4,0
41,67,47,72,39,4,0
69,59,37,99,41,5,0
33,87,71,52,23,3,0
83,28,68,69,75,6,1
66,65,56,92,77,4,1
48,69,50,31,84,5,0
95,74,77,76,77,5,1
55,52,38,59,49,3,0
71,66,76,45,95,5,1
95,100,60,88,38,0,1
26,93,32,76,81,0,0
48,25,64,59,87,0,0
30,63,46,38,98,1,0
52,41,40,94,63,0,0
25,59,84,88,80,6,1
98,70,84,93,40,0,1
51,66,34,37,29,3,0
70,63,49,81,49,4,0
94,73,55,47,43,6,1
77,86,45,87,67,4,1
45,62,57,78,74,0,0
65,47,55,61,71,0,0
48,46,45,77,57,0,0
23,28,60,74,86,5,0
100,73,89,83,27,3,1
32,83,28,75,48,3,0
58,97,92,60,29,3,1
34,92,28,66,88,4,0
48,95,33,45,94,6,1
48,26,54,75,87,6,0
94,73,69,75,68,1,1
51,55,28,90,77,4,0
21,64,93,75,54,3,0
66,72,47,80,69,2,0
97,75,40,91,59,1,1
41,67,46,64,31,0,0
94,79,96,71,35,5,1
46,73,72,74,97,4,1
86,81,86,97,67,5,1
100,39,84,76,20,1,0
75,51,29,59,84,6,0
40,92,31,53,41,2,0
66,88,75,95,34,1,1
99,54,89,72,86,4,1
78,60,33,63,33,3,0
25,91,69,52,92,0,0
38,73,71,90,38,3,0
76,100,91,66,59,3,1
88,79,48,42,23,4,0
22,80,34,100,52,3,0
20,92,97,36,62,3,0
77,68,72,71,56,4,1
57,55,59,67,85,4,0
34,82,78,81,46,2,0
53,77,95,73,64,3,1
80,47,40,93,100,1,1
54,52,77,42,69,6,0
83,40,64,57,82,0,0
44,61,44,30,25,5,0
43,45,93,72,86,0,0
31,41,69,71,86,4,0
37,61,30,79,78,5,0
34,43,93,89,32,4,0
99,54,73,30,40,6,0
46,69,63,80,83,6,1
91,42,26,45,56,2,0
79,86,63,68,99,3,1
65,60,45,44,67,4,0
36,76,64,62,75,6,0
72,43,78,82,63,4,1
27,68,36,46,32,0,0
98,31,61,35,23,3,0
46,68,62,60,92,2,0
65,92,39,98,52,6,1
69,58,31,69,56,4,0
90,90,74,59,72,4,1
22,93,89,98,43,4,1
83,79,91,36,70,0,1
63,34,68,42,60,6,0
72,66,55,33,48,4,0
43,65,67,79,78,4,1
79,93,72,32,59,0,1
22,34,85,41,70,4,0
39,34,99,94,69,3,0
65,84,34,56,55,3,0
34,75,53,79,98,0,0
44,45,72,46,79,3,0
97,32,86,61,37,5,0
90,89,37,80,39,5,1
36,54,68,46,24,5,0
28,73,71,63,37,2,0
57,33,88,64,59,4,0
67,41,77,53,20,2,0
79,93,100,83,38,3,1
82,82,68,47,45,0,0
21,81,52,79,48,5,0
91,86,26,75,78,0,1
30,76,81,77,82,2,1
83,85,81,62,81,3,1
96,64,58,56,67,6,1
100,62,82,30,81,4,1
91,67,76,88,37,6,1
40,87,53,39,85,3,0
37,43,59,54,46,5,0
83,74,99,86,25,3,1
57,57,72,95,89,0,1
51,37,57,44,78,1,0
30,86,99,57,25,5,0
64,67,97,42,50,6,1
52,73,33,43,75,4,0
60,60,72,95,73,5,1
27,34,91,63,60,5,0
30,30,60,54,37,4,0
70,81,95,83,42,6,1
60,25,68,41,55,5,0
36,95,84,38,44,0,0
95,82,87,60,26,3,1
65,45,29,82,39,0,0
51,80,100,72,24,3,0
98,44,64,67,37,1,0
99,78,43,71,52,5,1
73,49,71,77,98,1,1
39,52,89,96,54,2,0
52,29,91,95,84,6,1
93,45,42,45,82,3,0
59,42,74,45,91,0,0
51,71,54,60,90,0,0
21,94,90,87,60,5,1
52,81,29,57,69,0,0
96,43,66,33,49,2,0
49,89,29,39,57,4,0
52,27,74,80,54,0,0
96,66,82,47,85,5,1
45,45,32,76,65,1,0
41,64,55,61,27,6,0
85,91,36,59,87,0,1
57,49,45,65,56,0,0
65,79,86,38,32,0,0
34,76,57,65,92,5,1
63,68,50,58,64,6,0
68,80,64,45,48,4,0
94,79,89,50,60,0,1
80,94,83,93,75,4,1
86,97,39,95,35,4,1
25,90,25,88,31,6,0
28,43,35,57,85,6,0
25,31,79,84,81,2,0
92,87,26,60,38,1,0
51,66,89,62,49,0,0
60,66,68,89,35,0,0
95,83,40,70,32,0,0
27,44,46,75,88,4,0
91,97,42,78,42,6,1
69,41,71,94,81,3,1
81,51,54,71,50,1,0
81,71,34,52,72,5,0
26,26,82,56,36,0,0
94,87,86,61,68,3,1
99,86,30,32,68,3,0
23,43,91,89,86,6,1
25,41,65,46,45,3,0
77,93,67,61,32,1,0
41,63,42,36,57,3,0
45,95,82,100,41,5,1
22,63,84,98,48,0,0
60,60,51,87,64,5,0
79,64,92,69,65,0,1
33,69,46,77,58,2,0
94,28,48,80,88,4,1
31,49,64,86,97,3,0
31,93,98,100,87,5,1
32,54,90,66,58,4,0
44,100,64,84,39,4,1
64,92,30,70,96,4,1
38,53,42,49,87,4,0
74,97,54,62,54,4,1
64,92,45,69,27,0,0
27,75,86,63,71,1,0
72,48,34,91,59,3,0
74,38,37,48,55,3,0
51,93,100,72,25,0,0
70,42,33,98,89,5,1
63,66,92,92,92,0,1
89,81,63,39,35,6,0
37,36,48,42,65,4,0
41,41,58,34,78,1,0
56,54,85,87,57,3,1
75,99,65,88,37,5,1
78,47,29,88,31,2,0
22,25,74,44,73,0,0
47,56,28,30,66,2,0
93,33,75,67,20,3,0
54,39,76,82,34,0,0
80,52,63,81,99,3,1
73,48,32,30,40,0,0
82,84,69,40,20,5,0
98,59,52,87,86,3,1
26,51,51,69,31,6,0
95,100,89,89,47,2,1
68,44,58,73,58,1,0
50,89,86,35,56,5,1
77,73,86,57,79,6,1
80,25,62,60,50,5,0
43,34,50,37,77,0,0
39,71,48,34,30,2,0
56,83,63,83,48,3,0
23,86,45,46,32,2,0
39,42,71,67,70,5,0
79,70,72,38,73,0,0
43,56,37,43,38,2,0
69,51,27,55,77,6,0
68,42,56,91,55,3,0
70,63,59,54,47,4,0
55,73,43,65,87,5,1
85,68,38,62,22,1,0
98,96,72,32,60,1,1
53,78,92,40,54,5,1
55,58,69,87,95,4,1
25,95,43,93,100,0,1
58,60,88,47,95,2,1
61,42,90,76,69,2,1
77,62,90,73,93,4,1
31,83,99,88,49,6,1
22,33,69,79,91,4,0
37,97,98,98,96,3,1
59,96,91,58,89,3,1
40,75,93,96,73,1,1
34,59,27,31,90,0,0
45,29,62,54,70,0,0
27,38,66,48,47,6,0
61,54,64,69,83,4,1
63,28,74,31,40,1,0
33,63,59,94,46,1,0
97,88,48,91,46,3,1
21,49,41,83,96,2,0
56,52,64,74,69,6,0
88,100,98,78,48,0,1
57,90,90,98,58,6,1
60,46,68,67,76,1,0
81,55,47,33,56,3,0
79,47,30,46,83,3,0
33,72,90,82,67,3,1
21,44,45,82,41,6,0
89,62,59,60,49,2,0
36,79,53,51,47,1,0
47,92,31,40,42,4,0
85,25,77,63,23,4,0
54,31,61,44,22,3,0
24,81,47,39,80,3,0
84,36,32,82,23,2,0
59,29,100,77,84,3,1
95,74,72,60,31,5,1
75,66,34,66,32,1,0
55,36,48,57,53,3,0
64,42,71,60,78,3,0
42,90,77,99,92,1,1
66,98,63,43,50,0,0
50,41,91,45,90,5,1
30,92,90,54,32,5,0
29,95,30,68,73,4,0
86,86,45,95,21,3,0
33,65,97,67,52,1,0
99,58,98,70,69,4,1
93,94,60,69,26,6,1
29,69,27,93,37,6,0
95,82,66,45,70,2,1
20,75,69,88,27,6,0
24,58,68,40,74,6,0
39,68,57,30,95,0,0
27,39,84,42,62,3,0
62,94,94,59,78,0,1
95,74,50,98,49,3,1
20,56,45,47,78,3,0
76,91,26,42,28,3,0
83,27,71,61,87,0,0
47,98,54,100,58,5,1
56,75,51,79,100,2,1
66,91,95,100,30,5,1
95,100,44,60,21,1,0
56,72,74,80,42,1,0
68,41,47,56,82,6,0
63,31,37,89,41,5,0
75,37,28,62,80,2,0
47,90,38,82,45,6,0
98,28,44,62,31,2,0
25,34,37,70,51,3,0
80,41,27,48,28,3,0
39,76,71,70,88,1,1
97,30,27,71,90,3,0
21,93,25,52,52,6,0
92,98,48,62,43,3,1
56,33,59,49,88,2,0
39,45,38,54,57,0,0
45,48,91,81,30,5,0
48,28,37,41,51,4,0
20,48,71,61,83,4,0
54,83,74,62,91,3,1
89,27,50,97,39,3,0
78,92,27,44,53,5,0
88,64,75,80,61,4,1
52,72,64,35,27,2,0
70,78,92,98,85,4,1
97,59,60,98,40,4,1
31,80,75,64,98,6,1
39,64,25,63,89,4,0
72,92,57,92,24,3,1
62,70,31,97,86,6,1
69,37,76,47,62,3,0
48,51,35,55,35,5,0
76,30,51,90,92,4,1
58,41,38,77,54,3,0
75,60,70,60,62,5,1
62,26,100,63,58,4,0
69,76,34,36,29,2,0
42,90,48,36,93,3,0
63,76,85,76,39,0,0
57,67,42,37,20,5,0
42,46,33,30,25,3,0
64,79,41,32,72,2,0
71,91,82,82,65,2,1
99,84,37,67,85,3,1
69,82,74,80,57,1,1
27,36,30,44,52,5,0
20,93,75,96,86,4,1
27,63,60,93,96,4,1
48,37,95,97,54,2,0
24,65,49,34,98,3,0
66,81,35,39,64,1,0
53,77,68,37,41,5,0
84,36,38,41,87,0,0
74,37,53,93,36,4,0
62,98,98,88,24,6,1
93,81,74,96,76,5,1
49,64,29,79,59,5,0
36,69,96,52,49,1,0
45,59,93,69,61,5,1
27,27,81,47,26,4,0
66,29,50,50,90,3,0
95,35,30,30,38,4,0
91,95,40,67,60,0,1
65,80,84,70,53,3,1
87,34,36,71,41,2,0
52,58,99,38,71,1,0
20,91,27,52,25,4,0
38,96,87,40,93,3,1
50,55,88,100,44,5,1
99,99,86,60,85,3,1
33,95,30,55,29,4,0
72,90,43,59,93,2,1
67,94,42,63,45,4,0
88,65,67,75,24,2,0
81,87,97,98,87,5,1
85,56,27,34,90,4,0
83,44,96,90,69,3,1
89,81,62,67,36,0,0
82,74,92,57,30,0,0
92,49,100,55,72,5,1
52,36,68,90,69,6,0
60,95,87,52,27,6,1
67,63,66,75,81,3,1
32,41,88,59,95,0,0
92,69,78,96,48,5,1
96,35,95,62,63,2,1
50,94,100,32,64,3,1
94,47,61,98,48,6,1
87,94,28,71,78,2,1
23,62,26,91,34,3,0
38,26,68,87,89,2,0
89,96,91,86,63,2,1
32,61,92,30,55,0,0
42,73,100,89,76,3,1
94,76,98,98,83,4,1
20,57,86,88,95,0,0
73,46,25,75,57,2,0
90,29,41,63,36,2,0
34,42,40,54,46,6,0
84,62,33,71,36,4,0
95,61,77,58,82,6,1
90,88,97,54,30,4,1
34,34,83,83,83,2,0
40,66,33,96,58,4,0
38,72,36,44,21,1,0
79,68,65,33,85,6,1
52,40,39,67,73,6,0
68,78,90,49,48,0,0
54,59,99,52,64,3,1
63,52,35,66,99,6,0
30,26,32,91,50,4,0
91,37,79,37,68,4,0
97,65,30,66,28,1,0
93,83,77,74,46,3,1
85,93,44,62,75,1,1
65,77,63,36,97,3,1
28,69,96,51,64,6,0
22,44,58,34,62,6,0
45,48,81,44,41,0,0
91,85,43,50,52,4,1
67,82,95,46,46,0,0
85,51,55,85,59,3,1
89,50,64,79,45,4,0
47,31,38,36,64,6,0
45,66,61,79,64,1,0
44,71,68,89,45,6,0
31,77,33,36,89,6,0
24,83,82,69,86,2,1
67,62,44,74,25,1,0
56,93,74,88,47,2,1
98,77,44,84,86,1,1
63,39,60,93,32,3,0
34,50,51,94,82,0,0
62,72,96,83,32,2,1
67,43,56,69,96,3,1
89,33,25,82,20,0,0
65,88,41,73,59,0,0
62,78,33,92,56,4,0
40,75,69,31,50,6,0
42,63,90,50,36,4,0
99,28,56,79,28,6,0
66,27,69,81,83,4,0
34,88,33,38,76,2,0
44,53,54,49,32,2,0
55,35,62,47,56,6,0
94,82,84,59,33,0,1
70,99,25,94,94,2,1
34,51,29,53,44,0,0
87,45,87,76,97,3,1
40,63,60,73,76,1,0
32,70,89,58,90,0,0
38,90,97,97,61,0,1
53,60,48,46,61,3,0
97,99,28,34,66,6,1
87,89,92,79,63,4,1
71,87,49,69,60,5,1
46,59,98,75,22,6,0
48,55,31,80,20,4,0
47,52,37,40,98,4,0
54,25,92,41,30,6,0
27,49,67,42,26,6,0
35,67,81,93,31,0,0
55,91,60,37,57,0,0
49,87,38,94,73,2,1
37,75,96,38,86,2,1
21,26,51,31,72,1,0
68,88,61,42,51,1,0
96,98,95,31,64,5,1
23,93,100,97,70,6,1
94,33,49,77,56,2,0
26,26,91,32,78,6,0
93,58,28,97,73,0,0
58,84,98,35,37,3,0
32,85,40,34,20,2,0
50,55,43,32,40,0,0
90,34,53,39,47,6,0
82,100,75,72,35,2,1
75,60,42,48,67,4,0
61,73,82,43,47,2,0
80,94,68,50,41,6,1
61,73,40,72,20,6,0
75,27,89,57,61,5,0
55,98,26,50,89,6,1
87,29,80,65,22,4,0
26,85,52,53,99,0,0
73,50,89,83,100,4,1
20,96,29,67,63,2,0
63,29,46,46,46,4,0
64,39,37,51,70,5,0
66,40,89,74,43,3,0
32,25,40,90,39,4,0
41,40,88,40,51,6,0
40,61,56,90,32,5,0
28,27,75,67,62,4,0
45,76,82,95,39,1,0
28,71,70,62,21,3,0
34,37,76,72,87,0,0
29,79,87,60,79,6,1
61,45,100,64,23,5,0
91,90,84,66,36,4,1
43,78,89,76,20,3,0
99,51,79,52,52,0,0
68,62,81,65,49,3,0
45,82,95,69,24,5,0
56,86,97,44,31,1,0
87,70,50,66,51,5,1
69,35,36,33,57,5,0
43,96,95,51,36,0,0
38,32,70,51,77,0,0
79,95,71,46,59,4,1
58,88,62,67,43,2,0
93,45,45,53,31,5,0
37,96,38,35,38,0,0
38,87,26,97,48,5,0
55,88,96,35,71,5,1
93,44,94,55,36,0,0
74,32,57,70,92,1,0
88,82,30,67,40,1,0
66,70,61,72,79,5,1
68,55,38,82,94,1,0
52,33,61,44,39,5,0
40,39,32,85,72,4,0
100,50,37,85,99,0,1
41,34,64,60,82,5,0
67,53,82,86,76,1,1
56,60,42,80,48,1,0
34,61,81,53,20,3,0
54,95,62,87,78,3,1
